ID,Title,Authors,Thread,Talk,Session
1,Phism: Polyhedral High-Level Synthesis in MLIR,Ruizhe Zhao and Jianyi Cheng (Imperial College London),https://github.com/cucapra/latte21/discussions/21,https://youtu.be/50UjVlDF1Us,Language Design
3,High-Level Synthesis Tools should be Proven Correct,Yann Herklotz and John Wickerson (Imperial College London),https://github.com/cucapra/latte21/discussions/12,https://youtu.be/Olhbhq46Amc,Formal
4,Registerless Hardware Description,Oron Port and Yoav Etsion (Technion - Israel Institute of Technology),https://github.com/cucapra/latte21/discussions/22,https://youtu.be/_kpwAtg7TgI,HDL
5,ScaleHLS: Achieving Scalable High-Level Synthesis through MLIR,"Hanchen Ye (University of Illinois at Urbana-Champaign); Cong Hao (Georgia Institute of Technology); Hyunmin Jeong, Jack Huang, and Deming Chen (University of Illinois at Urbana-Champaign)",https://github.com/cucapra/latte21/discussions/37,https://youtu.be/BkE-3upeHUE,HLS
7,Improving HLS with Shared Accelerators: A Retrospective,Parnian Mokri and Mark Hempstead (Tufts University),https://github.com/cucapra/latte21/discussions/31,https://youtu.be/uoRFMrrOqU4,HLS
8,Elastic Silicon Interconnects: Abstracting Communication in Accelerator Design,John Demme (Microsoft),https://github.com/cucapra/latte21/discussions/29,https://www.youtube.com/watch?v=gjOkGX2E7EY,Interconnect & Memory
9,Compiler Infrastructure for Specializing Domain-Specific Memory Templates,Stephanie Soldavini and Christian Pilato (Politecnico di Milano),https://github.com/cucapra/latte21/discussions/34,https://youtu.be/PugsMNbdRQE,Interconnect & Memory
11,"Meta-level issues in Offloading: Scoping, Composition, Development, and their Automation","Andre DeHon, Hans Giesen, Nik Sultana, and Yuanlong Xiao (University of Pennsylvania)",https://github.com/cucapra/latte21/discussions/19,https://www.youtube.com/watch?v=PO6cqg46D4M,Integration
12,Enabling Cross-Domain Communication: How to Bridge the Gap between AI and HW Engineers,"Michael J. Klaiber, Axel J. Acosta, Ingo Feldner, and Falk Rehm (Robert Bosch GmbH)",https://github.com/cucapra/latte21/discussions/39,https://www.youtube.com/watch?v=IgUMyaA99kg,Industrial & Applications
15,Building Beyond HLS: Graph Analysis and Others,"Pedro Filipe Silva (Faculty of Engineering, University of Porto); João Bispo and Nuno Paulino (INESC-TEC and Faculty of Engineering, University of Porto)",https://github.com/cucapra/latte21/discussions/32,https://www.youtube.com/watch?v=CHpg09hwt3w,Industrial & Applications
17,Compile-Time RTL Interpreters,Sahand Kashani and James R. Larus (EPFL),https://github.com/cucapra/latte21/discussions/24,https://youtu.be/OAKiMHiPu1g,HDL
18,The Enzian Coherent Interconnect (ECI): Opening a coherence protocol to research and applications,"Abishek Ramdas, David Cock, Timothy Roscoe, and Gustavo Alonso (ETH Zurich)",https://github.com/cucapra/latte21/discussions/16,https://youtu.be/D9Sqg-Xzi2k,Interconnect & Memory
19,What are the Semantics of Hardware?,Gilbert Bernstein (Berkeley); Ross Daly (Stanford); Jonathan Ragan-Kelley (MIT); Pat Hanrahan (Stanford),https://github.com/cucapra/latte21/discussions/28,https://www.youtube.com/watch?v=xiAW7ULIulM,Formal
20,Towards Higher-Level Synthesis and Co-design with Python,Alexandre Quenon and Vitor Ramos Gomes da Silva (University of Mons),https://github.com/cucapra/latte21/discussions/13,https://www.youtube.com/watch?v=YB0WdSEOXT8,Language Design
21,Application specific dataflow machine construction for programming FPGAs via Lucent,Nick Brown (EPCC at the University of Edinburgh),https://github.com/cucapra/latte21/discussions/17,https://youtu.be/JePzhA51kWA,Language Design
23,A Position on Transparent Reconfigurable Systems,"Luís Sousa (Faculty of Engineering, University of Porto); Nuno Paulino and João Canas Ferreira (INESC-TEC and Faculty of Engineering, University of Porto)",https://github.com/cucapra/latte21/discussions/25,https://youtu.be/WNjIbt7Dyi4,Abstractions
24,Single-Source Hardware-Software Codesign,"Blaise Tine, Hyesoon Kim, and Sudhakar Yalamanchili (Georgia Institute of Technology)",https://github.com/cucapra/latte21/discussions/44,https://youtu.be/WxpZwn6PafY,Integration
28,Design Decisions in LiveHD for HDLs Compilation,Sheng-Hong Wang and Jose Renau (University of California - Santa Cruz),https://github.com/cucapra/latte21/discussions/15,https://youtu.be/oKjYDUqeSoU,HDL
30,(Redacted),(Redacted),,,Integration
32,Generality is the Key Dimension in Accelerator Design,"Jian Weng, Vidushi Dadu, Sihao Liu, and Tony Nowatzki (UCLA)",https://github.com/cucapra/latte21/discussions/11,https://www.youtube.com/watch?v=4RhaY4ekBVE,Abstractions
33,High-Level Synthesis of Security Properties via Software-Level Abstractions,Christian Pilato (Politecnico di Milano); Francesco Regazzoni (Università della Svizzera italiana),https://github.com/cucapra/latte21/discussions/35,https://youtu.be/Ubs5ag-6jaM,HLS
